text,rating,author,date
Very fast delivery! Works great! Great price! Enjoyed using it!,5,Tictoc59,2 years ago
"After several days waiting for it to ship, my unit arrived having been speared by a forklift fork and severely damaged. A replacement unit is supposedly on the way. Customer service was clunky at best. After a few dropped/disconnected calls, multiple transfers, and several different phone numbers I was able to speak with someone who promised to send me a return label and a replacement unit, ""a little later"". It sounded like she was working remotely and not at her desk.  We'll see if they make good on it.",2,Kevin,2 years ago
Online ordering process was simple and efficient. Product promptly shipped. Would shop with them again.,5,gman,2 years ago
"Really easy website to use.  The shipping information was accurate.  Overall, very satisfied.",5,GrannieofVA,2 years ago
The website was easy to navigate and my products came quickly!,5,Kevin,2 years ago
The website was easy to navigate and locate what I was looking for.,5,Rob11,2 years ago
"Easy to shop, merchandise came in few days. Pleasant experience.",5,Srg32,2 years ago
Easy ordering...received correct part promptly...all good !,5,Dave,2 years ago
"Easy to find what you want, very helpful information to make a purchase.",5,Js55,2 years ago
"wasn't the best product, will do the job depending on what you want to do with it. Personally, I wish I could return it.",2,Niko420,2 years ago
Product came damaged. Took a while for them to get a new one out to me.,4,Mopi83,2 years ago
My order came very quickly! Price was very reasonable,5,Cindy,2 years ago
My order was easily placed and delivered on the date stated.,5,Muzzle,2 years ago
My order came quickly and it was easy to put it together. So far so good!,5,MrsLowman,2 years ago
"besides the slightly damaged box, this machine is exactly what i wanted. I have a K2 and this is a decent upgrade.",5,Abdullah,2 years ago
"The Pressure washer that I purchased happened to be on sale, so I used the remainder of the money I had slotted for the washer, I used to buy accessories and soaps. Felt like I got a good deal. One of the accessories was the deck washer or horizontal surface washer which is fabulous! The swirly attachment that came with the pressure washer is more effective than the big gas-powered washer has ever been.",5,Mikerin,2 years ago
"Very please with fast shipment ,easy to start and it is just what I needed",5,James,2 years ago
Fast delivery and everything worked great no complaints,5,Brian,2 years ago
Good shopping experience. Lots of selection and fast shipping.,5,Puck Chaser,2 years ago
"I am being asked to review my shopping experience and I am still waiting for my items to ship, so I’m not super please with the customer service or performance.",1,CARipt,2 years ago
Great vacuum and the extra bags came sooner then I expected.,5,Steve,2 years ago
Received my fc5 machine right on schedule and love it.  It makes cleaning my hardwood floor very easy and almost enjoyable.  It is a super quality machine.,5,ktb1,2 years ago
No issue wirthe delivery.  Item Arrived when expected. Kept me informed.,5,Rico,2 years ago
Everything came as ordered and very quickly. I'm very pleased with my experience.,5,Bob27,2 years ago
Found relevant information on the product I was interested in.,5,Chucky,2 years ago
Very easy to use the website and happy with the shipping times,5,John,2 years ago
Website was easy to navigate and assisted me in my purchase.,5,Karcher Shopping Made Eas,2 years ago
"Sent a product without all it's parts and when I finally got all the ridiculous information to them (model number, serial number... For some reason the sales/order number wasn't good enough) NOW I'm waiting a week for them to ship me the parts... didn't offer overnight or even 2 day shipping!  The missing part was the water tank!!! How does that happen unless their quality control is non-existent???",1,Unhappy,2 years ago
"All I can say is GO TEAM KARCHER. Everything went smoothly, I will be watching for some more good deals. Thanks Greg",5,Greg,2 years ago
Easy to navigate on the website and the shipping was well communicated through UPS,5,SBeck,2 years ago
"The purchase was fine and the product arrived as expected. Interaction with the technical support team was particularly helpful in selecting the correct product. Khadejah Wilkerson demonstrated an outstanding knowledge of your products and her professional, expert advice relating to my power washer problems was exactly what I needed to make the right purchase.",5,SurfbumOBX,2 years ago
Very happy with shopping experience. Best part they answer the phone when you call and have answers to your questions. Will use them again for sure,5,Jerry hr,2 years ago
Easily found product sized for my needs at a good price,5,Kls1,2 years ago
Simple and easy Online transaction. Price was the best on Kärcher.com,5,HerbWeih,2 years ago
Easy order and fast shipping.  Also good pricing (sale).,5,Anonymous,2 years ago
Received my order quickly and was overall satisfied.,5,PhilR,2 years ago
Was a super price on a nice floor cleaner.  Works well.,5,Rh2022,2 years ago
"easy, questions answered, prompt. what more can be said of a phone conversation? He had a nice voice?",5,Do not want a nickname,2 years ago
It was very easy to order and received our shipment very fast.,4,Bubbs,2 years ago
I received my order pretty quickly. The website is very well done.,4,marie,2 years ago
Received order quickly but damaged Haven’t been satisfied with customer service yet,3,Tony 2,2 years ago
I enjoyed shopping at Karcher e-bay and received my order very fast and good price.,5,sodbuster leo 13,2 years ago
Ok experience except for the box arriving in a banged up condition and a 5 inch tear in the side,4,Frank,2 years ago
water attachment is rinky dink hose is a little better but not good,3,greenrock,2 years ago
Great place to get the right merchandise for my new Karcher Electric 2000 Pressure washer which by the way it works great,5,WallyR,2 years ago
Online ordering was easy and I received my item very quickly!,5,tbenn,2 years ago
I ordered a power washer kit to replace old pistol part where plastic had broken.  Sales person assured me it would work.  It fit but the pressure of the new hose does not match pressure of the washer so the water just sprays out softly like a regular hose or worse.,1,Leel,2 years ago
Took too long to receive the item. Overall purchase process was easy and smooth.,4,Annahamb,2 years ago
Ordering was easy and fast. Shipped right to front door.,5,BenSoCal,2 years ago
The item arrived today.  I assembles the PRESSURE WASHER K 2 CCK and it would not power on.  It performed like a normal garden hose with the faucet on.  I would like a refund if I cannot have a working unit sent to me.  There is a question in this rating regarding the customer service.  I am not going to rate that poorly since I have not had any contact with anyone from Karcher yet.,1,scceo,2 years ago
Fast delivery!  I'm Very pleased with this company.,5,MickeyE,2 years ago
"In all fairness, this was the first washer that didn't come with a container to hold your washing fluid not did anyone mention that it did not come with one. Found out after I received the unit. Why have the soap cycle on the handle as u could make it cheaper.",2,Den1,2 years ago
"Easy to order, Good support for older K2 product line",5,James,2 years ago
All went well item was reasonable and fast service.,5,Bob9,2 years ago
I dug out the book that came with UT and was able to find what I needed in no time!,5,Rhonda,2 years ago
Good customer service. Was worried about the shipping note but called and rep helped out right away.,5,jart238,2 years ago
"This was a perfect service. Timely delivery. Good product,",5,Michi,2 years ago
"Great website ,easy shopping and very fast shipping",5,Siggi,2 years ago
"Very nice shopping experience, no problems. I have yet to use the product so I have no reviews for it at this time.",5,Papmom1,2 years ago
Ordering the product was easy and the delivery was effortless.,5,Ricardo,2 years ago
Easy online purchase process..  Free shipping. Arrived intact thanks to sturdy boxing and strapping,5,RMP73,2 years ago
"Received new electric power washer very timely. Easy to assemble. Read the instuctrions and seems easy to work. Two projects done with regular washing. Three more to go, will use the soap feature. Much better pressure that the two other brand units that I tried and sent back. Looks to be built durable. Time will tell. Very happy so far with the price and purchase.Thank you. Rod",5,Rod GS,2 years ago
"I am really glad about this purchase because it was really easy, Karcher has a very friendly web site.Zero issues getting my product.",5,Davinci1452,2 years ago
Delivery made as promised and on time. Good job on this,5,Wally,2 years ago
"It was a great experience. At first, the price I paid was lower than everywhere else. Second, I had to contact customer support several times to clarify my order and it received excellent service. The delivery was fast as well.",5,sash,2 years ago
So far so good everything is great. Like everything about the power washer Thank you,5,TMH58,2 years ago
"Easy shopping experience, shipped and received faster than expected!",5,Chris123,2 years ago
"I received my order very fast, however the website was a little difficult to navigate",4,Jim67,2 years ago
Best price through the website.  Received quickly.  Would purchase again.,5,J2in TN,2 years ago
Item arrived as advertised in a timely fashion . Fit my wand perfectly.,5,Papazack,2 years ago
"Used my power washer twice so far, and it has plenty of power and works very well. It is also quiet.",5,Joe  T,2 years ago
"This was my second purchase from Karcher and couldn't be more pleased, from the cart to my doorstep it was seemless.",5,Bearded One,2 years ago
"I've never seen a shipping box in worst shape in all my 75 years. I'm surprised it made it on the UPS truck because they did not take it off the truck. After UPS talked to Karcher who probably told them to open the container and see if anything was blemished inside and if not send it on I received the item. I immediately tested the unit to see if the motor still functioned, miraculously it did.The box was no longer square it was round.It had been opened by someone. If I was Karcher I would have replaced it immediately and preserved my good standing with my customers, they made their position abundantly clear.If the power washer continues to function it will at least attest to the quality of the unit.",3,judd55,2 years ago
"Good product but, it came with a gas tank dented and the engine was leaking between engine and water pump for that reason I returned it.",4,Alrxander,2 years ago
Easy to find what I needed! Found the right machine and quickly ordered it,5,Tim2575,2 years ago
The equipment was working as expected. Very light and easy to use.,5,Mel86,2 years ago
"excellent service, the K5 arrived on time , I recommend this kind of service",5,Mdirgl,2 years ago
"Website easy to navigate, received my car kit quickly.",5,Robz,2 years ago
"I replaced a 20 year old Karcher power washer system with a 2021 model.  Great price works fantastic, easy to shop for, great technology!",5,milt1963,2 years ago
Good phone help about purchase.  Friendly and helpful.,5,Ben P,2 years ago
Order came in a timely manner. Works like it's supposed to.,5,Josh,2 years ago
"It’s easy to order, and delivery was prompt, and the box was compact",5,Stan B,2 years ago
Very nice ordering and shipping experience.  Unfortunately the hose reel crank does not work.,5,Mike,2 years ago
The shopping experience was simple and easy. Received the delivery as promised happy with the experience,5,Navkd,2 years ago
Easy to purchase.  Easy to track the shipment.  It was shipped promptly.,5,Guidon,2 years ago
First package was damaged and missing parts. Had to be returned. Received the second package and it was okay.,2,Snip,2 years ago
Shipping was very quick nice product nice price haven't tried it yet,5,BB gun,2 years ago
Easy order and fast delivery on hose that I ordered,5,Todd7810,2 years ago
"Good descriptions of the items, except for the electrical current ratings for each electric power washer. I had to dig through the internet to find something that should have been in the spec tables, including in my comparison summaries.",4,John43014,2 years ago
I could not believe how quickly the nozzle showed up.,5,Tom1,2 years ago
Product works great cleaned my stone tile floors.  Not to noisy either,5,Larryman99,2 years ago
"While it did take a long time to receive my order and then one of the items did not fit, customer service was terrific! As my windows were over 20 years old, they helped me find the correct item. I'm waiting for the new part, but I'm really impressed with the level of customer service.",5,Cynthia,2 years ago
Great experience shopping on line and received quickly,5,sntil1968,2 years ago
My order came 1 day after the date I was told that it would arrive.  It didn't matter to me.  The electric sweeper arrived in excellent condition.,5,AJ14,2 years ago
Had axgood experience with Karcher. Received my new pressure washer pretty quickly with no issues.,4,Rocker215,2 years ago
"Over the span of several days, the prices kept changing on the unit I wanted or suddenly that model was sold out or longer available.",3,lindenhaller2,2 years ago
Uneventful purchase.  Order easily placed and received in a timely manner.  Good product.,5,Monkey,2 years ago
I've enjoyed shopping here and received the item on time.,4,MZ22,2 years ago
"I played with getting my seats reupholstered for well over a year. I finally decided to do it, and was very pleased with the result. My 18 year old truck is like new now. The process went very fast. Thank you",5,Michelene,2 years ago
Piece of junk buyer beware. Came out of the box broken,1,Never again,2 years ago
"First purchase, quick and easy. I received the product as promised and very well packaged",5,Jor22,2 years ago
I enjoy the easy navigation through the website and sale prices,5,Bigredinsanjo,2 years ago
My box was damaged which the yellow part was damaged that holds tools for the vacuum.,1,Need a new yellow part,2 years ago
"Very speedy delivery, well packaged and arrived exactly on time.",5,Cece,2 years ago
"Ordering the vacuum cleaner was fine, but I had no luck getting the HEPA bags in the USA - US customer service didn't even know what I was talking about when I gave them the SKU # for the bags. The woman I spoke with in customer service said she would get back to me but never did. That was very frustrating. Ultimately I had to get them through a friend in Germany.",3,MartinH,2 years ago
"Works well, but I thought it would have more power. The crank on the hose reel does not work.",3,Mike,2 years ago
Very easy to purchase what I needed!!!!!!!!!!!!!!!!,5,James,2 years ago
"thanks for the fast shipping ( and secure packaging). I would rather support one of your local dealers but buying direct is very easy, and fast.",5,Bitsco in Buffalo,2 years ago
Exactly what I needed and it the item arrive quickly.,5,Cynthia,2 years ago
"As I kept looking at various model of washer, the price would change & the model I desired was suddenly no longer available, so I had to start again, & ended up w/ a model that I originally was not interested in.",4,lindenhaller2,2 years ago
I’m overall satisfied with the shopping experience,5,Wendellk4,2 years ago
Shipping was fast. It arrived ahead of time. Great little machine.,5,Mel86,2 years ago
I'll be calling customer service today. The product was missing parts and was damaged.,1,Snip1960,2 years ago
Have not recieved items. Kind of hard to rate experience when you have not recieved..,2,Boffo71,2 years ago
There was a problem with the gas cap! It was no in the box! Contacted customer service they transferred me to warranty and Justin looked for a cap for the unit but could not fine a cap in stock! Told me it would be 10-14 days for delivery! Wished it could be sooner but I understand with all going on! Now just waiting for a cap!,4,Lonzo56,2 years ago
Took too long to ship and too long to deliver. More than a week between order and delivery.,3,Rikwynn,2 years ago
Very easy to use website. The product came quickly. UPS only delivered one package but brought the other package the next day.,5,Grandma Jan,2 years ago
Ordering on-line was a breeze.  Best price and fast delivery!,5,Bmer38,2 years ago
I can said anything about it cause I’m still waiting for it,2,Iracema,2 years ago
The shopping experience was good. The tracking capability could be better. Tracking should be included with the order profile and not a separate email.,4,Phong,2 years ago
"Received the products quickly, well packaged. The price was better than what was on AMZ.",5,Mike582,2 years ago
Straight forward ecommerce transaction and received item several days sooner than promised.,5,ksdeckboi,2 years ago
Worked with a most wonderful lady on the phone helping me with placing my order for the K2000. Thanks so much and it arrived yesterday and have not opened as yet. thanks so much Dave,5,Dave,2 years ago
I enjoyed shopping here and received my order very fast.,5,MZ22,2 years ago
Over all satisfactory transaction.  Web site easy to use!,5,don40,2 years ago
"Easy and quick, great price!  Glad I found that I could order from here.",5,Monte,2 years ago
Easy to navigate website. And the items arrived in a timely fashion,5,Philly,2 years ago
The ordering process was easy and the delivery was quick. They provide email updates as order confirmations and shipping/tracking info. Very professional,5,Greg,2 years ago
fast delivery and a quality product for a reasonable price,5,milty,2 years ago
The order came amazingly fast. The system to order items was very good.,5,Bud95,2 years ago
Website was easy to navigate . My machine is an older model yet still found parts,5,Papazack,2 years ago
"EASY to place the order, and was delivered in only 3-business day",5,Big Jim,2 years ago
I received in order in good time. I would shop with this business again.,5,AZGranny,2 years ago
it was a good experiance.karcher is great.I have been using them for over 15 years.,5,will,2 years ago
Within 3 hours of ordering I was informed there would be a delay in shipping the item I ordered.  Then the was a further delay.  Not satisfied with karcher at all.,1,Bill 72,2 years ago
Shipping was very fast. Product was in great condition.,5,JT ymail,2 years ago
Shopping was a great experience with you I will return,5,Bob at 06405,2 years ago
"Ordering was super easy. Even with shipping delays my unit still arrived within a week. Karcher worked to get their products on time allowed their employees to do their jobs to get the job done.  Now I can get my cars cleaner, faster, using less water and no fossil fuels.",5,Bearded1,2 years ago
The ordering process was straightforward and easy to accomplish.,5,Cts10,2 years ago
6 hrs on phone no one could answer a simple question or tell me how to send parts back throwing away a good machine because thy cant answer me. will never buy another pressure washer,1,chuck55,2 years ago
"Easy process, nothing special but easy to navigate and place your order.",5,Jreills,2 years ago
All the process was very easy and quick... the product and his accessories work perfectly,5,Hgv1978,2 years ago
"Product came quickly. The website was easy to follow. I have to return it cause I got the wrong model, but I am confident I will get the right product in the end. This is a great vendor",5,Caroline,2 years ago
I liked the product and ordered on line. It was shipped quickly as promised. The product looks good. Works well.,4,not a name,2 years ago
"My order was shipped quickly, Machine looks great, can't wait to use it, I did order some accessories, I ordered a brush and it looked used, so did not look brand new.",4,GI Jones,2 years ago
Ordering was easy! Delivery taking longer then expected. I have not received delivery yet. UPS notified me that delivery is to be made Tuesday - 10days after ordering. Re: customer service N/A,3,tpner1,2 years ago
"Shopping was easy, but still have not received the  item.",3,Barr,2 years ago
I recieved excellamr service/ Love my follow Me Karcher amd use it all the time. Thanl you,5,Momma Slade,2 years ago
Easy to order and quick delivery. My last pressure washer lasted almost 20 years.,5,hatchett39,2 years ago
"The parts I ordered, while correct, did not meet my needs. I found it impossible to get the right parts for my older K3.91M model power washer. However, when I called to get an RMA #, your customer service rep immediately credited my account the cost of my order without quibbling or requiring the return of the parts, because it wouldn't have been cost effective. Thank you. I really appreciated that.",3,Steve,2 years ago
"Purchase from Karcher was easy and fast, arrived on time. Thanks",5,palmas234,2 years ago
The shopping experience went no problem tracking number sent and delivered when promised,5,Henry,2 years ago
"My 20+ year old Karcher power washer died recently.  Based on the great performance, I planned to replace it with a Karcher.  The local dealer did not have stock on the models I wanted to I went to the Karcher store online.  I ordered and received in 3 days- great.  The washer arrived with all packaging intact, but the manual and spray wand are missing (never packaged).  I contacted Karcher and was told they would ship these two items.   Manual was received promptly.  Called again on the spray wand to be told this is on back order, and no idea when it will ship?   Requested they expedite one from the factory and told not an option.  It's 19 days later and the washer would be idle if up to Karcher.  I went online and Home Depot had Karcher wand and shipped promptly at my added cost.  Karcher could have found the part and fixed the issue, but would do nothing extra to resolve the issue.",1,Disappointed22,2 years ago
"I like shopping Karcher online, this time for a commercial vacuum on sale. A great deal, I got one for work and one for me. Unfortunately UPS decided to smash the corner of one box which slightly damaged a small part inside.",5,azide999,2 years ago
Received both orders in timely manner and love the power washer I purchased .,5,KSCP53,2 years ago
Overall great experience. Should this new pressure washer last as long and perform as well as my 2003 HD2701DR machine I will count myself well served.,5,Dutchmaster,2 years ago
"Shipment not received yet , it’s taking too long to receive your product.",2,George,2 years ago
"After I corrected my address, Karcher sent me another pressure washer which I received within two days.",5,the fat chef,2 years ago
"Easy to purchase on the website, and product arrived promptly. However product arrived damaged, and now I am awaiting replacement parts",2,ap518,2 years ago
Was able to find the part needed.  Ordered and it arrived timely,5,map76,2 years ago
"The sweeper picks up far more than the product description. I use in it a machine shed on a farm. If more than 4 dried corn leafs go through at one time, a couple of them get stuck in the rear brushes, easily remove able. It does pick up heavy nuts and bolts. My order was received 1 day earlier than expected.",5,Vern21,2 years ago
Customer service was wonderful!!!!!!!!!!!!!!!!!!!!,5,JenLee,2 years ago
The part that I needed was available and in stock.,5,TommyG,2 years ago
"Sorry, but my order has not arrived yet. And I’ve not received any response.",3,Geostuff,2 years ago
AS ADVERTISED.  NO PROBLEMS WHATSOEVER! WHAT MORE NEED I SAY?,5,JUDGE RYAN,2 years ago
"Pressure washer works great , but the cleaning solution leaked all over .",4,German women,2 years ago
The online shopping website would not allow me to place my order correctly I had a problem in getting a different bill to——ship to. Called the order line and placed the order with no problem.Also my on line order does not show on my account. Says no orders placed.,4,Bob613,2 years ago
Shopping was easy and the product arrived as promised,5,walt,2 years ago
Everything as advertised. Looks to be a great purchase.,5,Ravin 56,2 years ago
"shopping online was fast and easy, product was received within few days!",5,jaw1950,2 years ago
"User friendly webpage..access was easy to order replacement wands for my K3 power washer. Quick delivery, received items within the same week.",5,Moosietoo,2 years ago
"I received the pressure washer but there is a dent on it. I emailed the customer service two days ago, but still no one get back to me yet.",3,Jimmy,2 years ago
Good Experience.  Not enough Product Knowledge.  Would have bought one size larger.,4,Framsaddle,2 years ago
easy shopping experience with ability to compare and contrast various models.  Very quick delivery,5,JTranch,2 years ago
"The order was shipped and was given the expected delivery date, but then was later updated as having some issue. For several days, the UPS tracking was showing progress but some delay and not able to give delivery date. Eventually, it was delivered on Monday the following week instead of the Friday as was originally estimated. I needed it for a cleaning task over the weekend because my previous K2 unit broke, but I received it too late. So, a little disappointing.",3,kenlusaka,2 years ago
"Easy ordering off the Kärcher website, followed by a prompt delivery. The K5 was quickly assembled out of the box. It works very well so far. Clean driveway!",5,Holger,2 years ago
My shopping experience with Karcher was amazing! They were extremely helpful after I emailed them with my issues. Not only did I get what I wanted but received it even faster than I ever expected.,5,Rusty,2 years ago
"Received my order on time, packed well. Love my purchase.",5,SsToto,2 years ago
"No updates on my order, and no ways to track it on the website.",1,Karchersucks,2 years ago
"Excellent product. Very useful, good instructions, clever packaging.",5,Eastender,2 years ago
"Great website, delivery was right on time.  Price was fair.",5,Happy Customer,2 years ago
Quick order processing and delivery. Pending full testing of equipment.,5,ai17828,2 years ago
Was able to expedite my product which allowed me to use the power washer in the needed time.,5,Front Runner Dave,2 years ago
Exceptionally easy! Online descriptions made shopping straight forward.,5,Mr CJ,2 years ago
"Simple, effective and efficient. (period)When you need the exact part, they have it and ship it promptly.",5,Hans,2 years ago
Received my order on time and the pressure washer is working great. Nice design on the soap injection!,5,Smoking pork,2 years ago
"The hardwood cleaner is terrible.  Still waiting for Customer Service to provide a RMA#, you have to send an email to get a RMA number.  The calling provision does not work, yet no hassle returns you have to send an email, ie you can no longer call, even though Satisfaction Guarantee and Return Policy says you can call, NOT.",1,TommyG,2 years ago
Ordering could not have been easier or quicker!!   I ordered one day and it was delivered to my door 4 days later!!!,5,Jake71,2 years ago
I got what I needed and it was easy to find on the site.,4,Jlrunner,2 years ago
Past brand experience directed me to Karcher and website was easy to navigate.,5,Bear2022,2 years ago
I enjoyed the shopping here and received my item very fast,5,Jean S Hanna,2 years ago
Website easy to navigate and informative.  Easy to place order and received items in good condition in about a week (reasonable for ground ship from CO to WA).  Would like to have received shipping confirmation from Karcher.,4,Bruce,2 years ago
Very good shopping experience.  Very much like the videos with the product- this helped me make the decision.,5,Great Planes Millwork,2 years ago
Website was very easy to navigate and order from !!,5,Tws45,2 years ago
Excellent great power washer work good good quality,5,Valdrin,2 years ago
Purchasing directly from Karcher was good experience! The site was easy to use and helped me in selecting a product.,5,Kenzles,2 years ago
Easy to order.  Delivered on time.  Easy purchase at a great price.,5,Rich,2 years ago
Easy to order. Fast shipping. The detergent products were extremely well packaged.,5,Ryan,2 years ago
Kärcher is  my favorite brand .I love it !!!Unfortunately my experience was terrible . I bought it to receive on Friday to use in a preparation for a party : clean the house and everything. I didnt receive so far . It is unacceptable!!!!!,1,Julio,2 years ago
"Two times I went through the entire process of placing my order on your website using my iPhone. Each time my “payment information” was rejected. All attempts to get to a place to even review, let alone correct, the “error” (which I’m sure didn’t exist) were stymied by your website!Calling the very helpful people at customer service allowed completion of my order.",1,Rwc9,2 years ago
Great customer service and product availability. Customer representative was awesome,5,Dennis,2 years ago
Shopping online was simple and efficient. The carrier kept me notified of the delivery dates and the packaging was secure and the best wrapping I ever experienced in a product. We’ll done!,5,Gigi,2 years ago
I knew what I wanted from previous searches. The price was right. Purchase was easy and delivery was prompt.,5,Pres,2 years ago
"The only reason I didn’t give 5 stars is because there was a promotion that said I could get 10% off anything, even sale items, and I couldn’t get that promotion to come through. Everything else has been fine.",4,JeepinJewels,2 years ago
"I ordered the FC5 from the Karcher website, and found the payment process and shipping time to be prompt and painless.",5,JayG,2 years ago
Buying Karcher products well worth the money and more enjoyable when they are on sale!,5,Cindy2219,2 years ago
Received on the day promised.  Products well packed.,5,Bill,2 years ago
I have yet to receive my order and it’s been over a week.  Horrible service,1,socal,2 years ago
Great!!! Fast and free shipping for the best price online.  Also quality machines every time for my use.,5,Dominic,2 years ago
received order very fast.this will a first time that I will use this product.,5,Francis,2 years ago
The process was simple and easy.. I previously owned a Karcher product.,5,Garilee,2 years ago
Unit was damaged. One corner of the gas tank was smashed in. You should really pack your merchandise better than just throwing it all in a box. Also missing some hardware.,2,hoot,2 years ago
This is possibly the best vacuum I've ever purchased but Kaercher USA doesn't offer any of the accesssories I need as an auto detailer. I was very happy with the attachments that were included and the vacuum itself but the only accessories available for the vacuum are the ones that come with it.,5,Thomas,2 years ago
Very quick and easy and product arrive on time as noted,5,Skip,2 years ago
"Good price, better than any place i found. and fast shipping.",5,Mike,2 years ago
The prices are reasonable and my order arrived quickly. The website was intuitive and it was easy to find what I needed.,5,Amyh,2 years ago
I had to contact customer support to cancel my first online order and reorder a different model. The associate was great and even contacted me back with some further information I had requested. He cancelled my first order without a hitch and placed my new order. The unit was delivered in less than five days. Great company!!!,5,Tzick,2 years ago
Order arrived in Avery timely matter. Very c happy about the shipping .,5,Terry F,2 years ago
Website easy to navigate and check out was very easy.,5,Food Dude,2 years ago
Great deals on outgoing power washer and foam cannon!,5,Joe760,2 years ago
"Order was easily placed, and arrived as scheduled.  Washer was well packed so no damage occurred in shipment.  I have not yet used it.",5,Don 39,2 years ago
"Ordering easy,price is great,timely delivery,let you know how it works when I get a chance to try it",5,Lee 6465,2 years ago
"I enjoyed shopping for Karcher home and garden products.  We got a K2 pressure washer, Hard floor cleaner and window vacuum all arrived within 5 days of out order.  We especially love the free shipping.",5,JBoni,2 years ago
"Good experience, but didn't get enough information about when the item would ship.",3,MikeA,2 years ago
"I ordered on May 19th. I was informed that I would receive the item on May 27th, before noon. Today, May 27, I received email saying that item will be delivered by 7pm. At 7:15pm, I received another notification which says that I will receive the item on May 31st. Let’s see…why did not I just drive to Home Depot and buy a pressure washer from them on May 19th? I was not in rush, and I thought it would be better if I buy it from the manufacturer. Well, I was not in rush but I needed it this weekend, and I did not consider that it would take 2 whole weeks to receive the item, because I believed the shipping info provided to me while I was ordering it even with the acceptable margin of error, it was ok. So, what did I learn? Do not buy anything from Karcher website, just drive to Home Depot and buy whatever brand, whatever they got.",1,Kzr1237,2 years ago
"The delivery was on time, day and time indicated.  excellent shipping service.",5,Médico or Dr veterinarian,2 years ago
I ordered a hose and a wand for the Karcher pressure washer and the items connected right up to my pressure washer. Karcher also provide extra fittings in case they did not connect.,5,Mark58,2 years ago
Easy navigation thru site. Easy ordering. Delivery was fast.,5,BF132,2 years ago
Very good web sight easy to find and buy what you need.,5,Jack,2 years ago
Very easy to place my order and received order very promptly!,5,GmaP,2 years ago
Received carton.  Assembled.  Diagram showing washer locations for wheels stinks.  You do not show which washer goes where.,4,Dd114,2 years ago
I ordered the wrong part.  Had to call in and the customer rep could not have been more helpful,5,jol50,2 years ago
"Went well. Easy to navigate.Hmm, this review requires a minimum number of words to be allowed.  Consider using KISS principle.",5,shawnster,2 years ago
Web site was user friendly. Shopping experience was informative and easy.,5,Reed,2 years ago
"i didn’t get my stuff yet, and did not get any tracking number",1,kp 114,2 years ago
USED FIRST TIME AND IT WORMED VERY WELL...  STARTED ON THE FIRST PULL EACH TIME AND HAD MORE THAN ADEQUATE PRESDURE FOR WHAT I NEED IT FOR.  VERY SATISFIED,5,Jimmy,2 years ago
"Was quick and easy,did have some damage to to the attachment holder from shipping.",4,Josh,2 years ago
Purchasing on the website was very easy on the website and delivery was fast!,5,judgelaw,2 years ago
Very fast service with no delivery fees !Good prices,5,Georgia S,2 years ago
We received our order in a very timely manner! Very fast turnaround.,5,Hank,2 years ago
"Online purchase was super easy, item was delivered earlier than initially scheduled. Great experience",5,JEL in DC,2 years ago
I received the item I ordered faster than expected.  The part fits as described.  I’m a happy camper.  Very glad to be able to buy direct from Karcher!,5,Gary S,2 years ago
Everything went very well shopping for the pressure washer!  Processed and received very quickly!!,5,Suzanne,2 years ago
"Found product info (including reviews) helpful, placed order, received it on the day I was told to expect it, unpacked it, completed minor assembly and put our new FC5 to work - everything was very good experience.",5,MC929,2 years ago
"The site was very easy to navigate and there were some incredible promotions, love it so much keep ordering more stuff",5,JohnA,2 years ago
Ordering online was super simple and quick. I received my order in 4 days!! I was expecting it to take at least a week.,5,Gwen91,2 years ago
Our FC5 was shipped on time and we received it ahead of schedule.  Seamless and painless transaction!,5,Dad2Texoreans,2 years ago
Thank you for easy shipping and great job for sure I’ll do if I’ll need it again,5,Amer,2 years ago
Easy to navigate  website and place order.  I got what I expected  for a great price.,5,Anonymous,2 years ago
I found the online purchasing process very clear straight forward.  After placing my order I had a couple of questions about my new pressure washer concerning the interchangeability of some of the new parts with my soon to be replaced older Karcher pressure washer.  The support team was very informative and helpful.  The total purchase process from start to finish was outstanding.  The UPS delivery to my home was on time as promised and the setup of the new pressure washer simple and well explained in the documentation. I hope to use the machine in the next few weeks and based on my older unit I don't expect any issues to present themselves.,5,MikeLeib,2 years ago
"Was able to find a smaller pressure washer on clearance on-line, it was in stock and shipped quickly.  Arrived exactly as predicted.",5,Cameron,2 years ago
The web site is easy to use.  Shipping was fast and reliable.,5,Misemefein,2 years ago
"I believe I got the correct parts, but was a chore getting to the right site.",4,Yosemite,2 years ago
"Shipping was ready, lots of reviews and details, in the description.",5,Ade85,2 years ago
My best purchase so far. I love it so much. Thank you!,5,Olga Popova,2 years ago
Product got to my house in good time. It was package good. No issues.,5,Home,2 years ago
Very easy transaction. Product shipped within a day and was delivered in five days.,5,Bk hobbyist woodworker,2 years ago
"Great, easy, and smooth. Adding Apple Pay would be a plus.",5,Fast and easy,2 years ago
"Good experience, found everything easily and checkout was a breeze.",5,Winslow,2 years ago
I enjoyed shopping with Karcher! Received very fast!,5,Will73,2 years ago
Easy to find product and evaluate online. Ordered what I needed.,5,ohana25,2 years ago
Good Machine. Can be used for a number of task around the house.,5,Bk1242,2 years ago
Easy shopping and fast shipping can’t complain. Will shop here again.,5,Davisb,2 years ago
"parts were easy to identify from the diagram, then add to cart",5,gk81,2 years ago
"Ordering was easy, and a good deal with free shipping.",5,Don K,2 years ago
